,,,,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
,Chicago Bulls,,,35.3,79.7,0.443,6.2,20.2,0.306,29.1,59.6,0.489,20.7,28,0.738,16.3,27.3,43.6,22.7,9.5,3.9,14.4,24.8,97.4
,Golden State Warriors,,,38.9,85.6,0.455,12.8,32.4,0.393,26.2,53.2,0.492,17.1,23.3,0.735,10.5,32.7,43.2,24.3,8,5.5,14,22,107.7
